Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Stores Field Type,UW-45,10142,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:08 PM,21/Feb/22 9:49 AM,17/Feb/22 3:08 PM,,0,Verify the Store Field Type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000pn:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Manufacturer Name Field with empty space and mandatory Field,UW-44,10141,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:08 PM,21/Feb/22 9:49 AM,,,0,Verify the Manufacturer Name Field with empty space and mandatory Field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000pf:,,,,,UW Sprint 1,,,,,,,,In Progress
"Verify the Manufacturer Name Field with Special character, alpha numerics",UW-43,10140,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:08 PM,21/Feb/22 9:49 AM,,,0,"Verify the Manufacturer Name Field with Special character, alpha numerics",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000p7:,,,,,UW Sprint 1,,,,,,,,In Progress
Verify the Manufacturer Name Field with less than 2 and more than 64 characters,UW-42,10139,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the Manufacturer Name Field with less than 2 and more than 64 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000oz:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Manufacturer Name Field type,UW-41,10138,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the Manufacturer Name Field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000or:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Edit Logo field,UW-40,10137,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the Edit Logo field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000oj:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Edit Logo field type,UW-39,10136,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the Edit Logo field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000ob:,,,,,UW Sprint 1,,,,,,,,Done
Verify the cancel button,UW-38,10135,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the cancel button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000o3:,,,,,UW Sprint 1,,,,,,,,Done
Verify the save button,UW-37,10134,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the save button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000nv:,,,,,UW Sprint 1,,,,,,,,Done
"Verify the Sort Order Field font , placeholder",UW-36,10133,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,"Verify the Sort Order Field font , placeholder",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000nn:,,,,,UW Sprint 1,,,,,,,,Done
"Verify the Sort Order Field with special charcter, alphanumerics, Blank Spaces",UW-35,10132,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,,,0,"Verify the Sort Order Field with special charcter, alphanumerics, Blank Spaces",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000nf:,,,,,UW Sprint 1,,,,,,,,In Progress
Verify the Sort Order Field type,UW-34,10131,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the Sort Order Field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000n7:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Image button default image,UW-33,10130,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:07 PM,21/Feb/22 9:49 AM,17/Feb/22 3:07 PM,,0,Verify the Image button default image,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000mz:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Image button Type,UW-32,10129,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,17/Feb/22 3:06 PM,,0,Verify the Image button Type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000mr:,,,,,UW Sprint 1,,,,,,,,Done
Verify the SEO URL field with Unique data,UW-31,10128,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,17/Feb/22 3:06 PM,,0,Verify the SEO URL field with Unique data,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000mj:,,,,,UW Sprint 1,,,,,,,,Done
Verify the SEO URL field with white spaces,UW-30,10127,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,,,0,Verify the SEO URL field with white spaces,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000mb:,,,,,UW Sprint 1,,,,,,,,In Progress
Verify the SEO URL field with spaces,UW-29,10126,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,,,0,Verify the SEO URL field with spaces,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000m3:,,,,,UW Sprint 1,,,,,,,,In Progress
Verify the Stores Field content,UW-28,10125,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,17/Feb/22 3:06 PM,,0,Verify the Stores Field content,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000lv:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Stores Field Type,UW-27,10124,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,17/Feb/22 3:06 PM,,0,Verify the Store Field Type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000ln:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Manufacturer Name Field with empty space and mandatory Field,UW-26,10123,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,21/Feb/22 9:49 AM,,,0,Verify the Manufacturer Name Field with empty space and mandatory Field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000lf:,,,,,UW Sprint 1,,,,,,,,In Progress
"Verify the Manufacturer Name Field with Special character, alpha numerics",UW-25,10122,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:06 PM,16/Feb/22 2:50 PM,,,0,"Verify the Manufacturer Name Field with Special character, alpha numerics",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000l7:,,,,,UW Sprint 1,,,,,,,,In Progress
Verify the Manufacturer Name Field with less than 2 and more than 64 characters,UW-24,10121,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 2:57 PM,17/Feb/22 2:58 PM,17/Feb/22 2:57 PM,,0,Verify the Manufacturer Name Field with less than 2 and more than 64 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000kz:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Manufacturer Name Field type,UW-23,10120,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Manufacturer Name Field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000kr:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Add New Logo field,UW-22,10119,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Add New Logo field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000kj:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Add New Logo field type,UW-21,10118,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Add New Logo field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000kb:,,,,,UW Sprint 1,,,,,,,,Done
"Verify the Filter button Font, Logo, Size",UW-20,10117,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,"Verify the Filter button Font, Logo, Size",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000k3:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Filter button type,UW-19,10116,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Filter button type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000jv:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Order Status list with search with using initials,UW-18,10115,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Order Status list with search with using initials,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000jn:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Order Status with default placeholder,UW-17,10114,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Order Status with default placeholder,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000jf:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Order Status field with all data listed or not in acending order,UW-16,10113,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Order Status field with all data listed or not in acending order,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000j7:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Order Status field type,UW-15,10112,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 2:57 PM,21/Feb/22 9:49 AM,17/Feb/22 2:57 PM,,0,Verify the Order Status field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000iz:,,,,,UW Sprint 1,,,,,,,,Done
Verify the calender icon with selected dates,UW-14,10111,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:11 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the calender icon with selected dates,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000ir:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Date End field with calender icon,UW-13,10110,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:10 PM,17/Feb/22 2:57 PM,21/Feb/22 9:49 AM,17/Feb/22 2:57 PM,,0,Verify the Date End field with calender icon,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000ij:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Date End field with correct date format(YYYY-MM-DD),UW-12,10109,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:10 PM,17/Feb/22 3:05 PM,21/Feb/22 9:49 AM,17/Feb/22 3:05 PM,,0,Verify the Date End field with correct date format(YYYY-MM-DD),,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000ib:,,,,,UW Sprint 1,,,,,,,,Done
Verify the Date End field with alpha numerics,UW-11,10108,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:10 PM,17/Feb/22 3:04 PM,21/Feb/22 9:49 AM,,,0,Verify the Date End field with alpha numerics,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000i3:,,,,,UW Sprint 1,,,,,,,,In Progress
Verify the Date End field with special characters,UW-10,10107,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:10 PM,17/Feb/22 3:04 PM,16/Feb/22 12:32 PM,,,0,Verify the Date End field with special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000hv:,,,,,UW Sprint 1,,,,,,,,In Progress
"Verify the Date End field with invalid date, future dates",UW-9,10106,Test,In Progress,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:10 PM,17/Feb/22 3:04 PM,16/Feb/22 2:31 PM,,,0,"Verify the Date End field with invalid date, future dates",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-1,,,,,,,,,,,,,,,,{},,,,0|i000g2:x,,,,,UW Sprint 1,,,,,,,,In Progress
